Date,Total,Central Coast,Illawarra Shoalhaven,Nepean Blue Mountains,Northern Sydney,South Eastern Sydney,South Western Sydney,Sydney,Western Sydney,Hunter New England
25-Jan-20,0,0,0,0,0,0,0,0,0,0
26-Jan-20,3,0,0,0,2,0,0,1,0,0
27-Jan-20,0,0,0,0,0,0,0,0,0,0
28-Jan-20,1,0,0,0,0,1,0,0,0,0
29-Jan-20,0,0,0,0,0,0,0,0,0,0
30-Jan-20,0,0,0,0,0,0,0,0,0,0
31-Jan-20,0,0,0,0,0,0,0,0,0,0
1-Feb-20,0,0,0,0,0,0,0,0,0,0
2-Feb-20,0,0,0,0,0,0,0,0,0,0
3-Feb-20,0,0,0,0,0,0,0,0,0,0
4-Feb-20,0,0,0,0,0,0,0,0,0,0
5-Feb-20,0,0,0,0,0,0,0,0,0,0
6-Feb-20,0,0,0,0,0,0,0,0,0,0
7-Feb-20,0,0,0,0,0,0,0,0,0,0
8-Feb-20,0,0,0,0,0,0,0,0,0,0
9-Feb-20,0,0,0,0,0,0,0,0,0,0
10-Feb-20,0,0,0,0,0,0,0,0,0,0
11-Feb-20,0,0,0,0,0,0,0,0,0,0
12-Feb-20,0,0,0,0,0,0,0,0,0,0
13-Feb-20,0,0,0,0,0,0,0,0,0,0
14-Feb-20,0,0,0,0,0,0,0,0,0,0
15-Feb-20,0,0,0,0,0,0,0,0,0,0
16-Feb-20,0,0,0,0,0,0,0,0,0,0
17-Feb-20,0,0,0,0,0,0,0,0,0,0
18-Feb-20,0,0,0,0,0,0,0,0,0,0
19-Feb-20,0,0,0,0,0,0,0,0,0,0
20-Feb-20,0,0,0,0,0,0,0,0,0,0
21-Feb-20,0,0,0,0,0,0,0,0,0,0
22-Feb-20,0,0,0,0,0,0,0,0,0,0
23-Feb-20,0,0,0,0,0,0,0,0,0,0
24-Feb-20,0,0,0,0,0,0,0,0,0,0
25-Feb-20,0,0,0,0,0,0,0,0,0,0
26-Feb-20,0,0,0,0,0,0,0,0,0,0
27-Feb-20,0,0,0,0,0,0,0,0,0,0
28-Feb-20,0,0,0,0,0,0,0,0,0,0
29-Feb-20,0,0,0,0,0,0,0,0,0,0
1-Mar-20,0,0,0,0,0,0,0,0,0,0
2-Mar-20,2,0,0,0,1,0,1,0,0,0
3-Mar-20,3,0,0,0,2,1,0,0,0,0
4-Mar-20,6,0,0,0,2,1,1,1,1,0
5-Mar-20,6,0,0,0,5,0,0,1,0,0
6-Mar-20,3,0,0,0,2,1,0,0,0,0
7-Mar-20,7,0,0,0,3,1,0,0,3,0
8-Mar-20,1,0,0,0,0,0,1,0,0,0
9-Mar-20,7,0,0,1,1,1,1,0,3,0
10-Mar-20,13,0,0,0,3,1,0,3,6,0
11-Mar-20,6,0,0,2,2,1,0,1,0,0
12-Mar-20,14,1,0,0,6,5,0,0,2,0
13-Mar-20,13,0,0,1,2,3,3,1,3,0
14-Mar-20,16,0,0,1,2,10,1,1,1,1
15-Mar-20,19,0,0,1,4,9,0,2,3,0
16-Mar-20,32,1,1,1,9,9,2,4,5,3
17-Mar-20,27,0,1,0,8,11,3,2,2,2
18-Mar-20,57,1,2,3,20,20,4,4,3,4
19-Mar-20,41,2,2,2,3,25,2,1,4,2
20-Mar-20,51,2,2,3,11,18,5,4,6,5
21-Mar-20,73,1,2,1,14,37,9,6,3,10
22-Mar-20,108,7,3,4,31,42,8,6,7,7
23-Mar-20,99,4,8,2,24,23,18,8,12,9
24-Mar-20,125,6,10,7,24,44,8,12,14,31
25-Mar-20,141,13,5,17,41,33,8,14,10,29
26-Mar-20,151,11,11,9,33,38,16,19,14,32
27-Mar-20,135,11,4,6,26,36,24,17,11,18
28-Mar-20,171,15,14,10,44,41,18,14,15,17
29-Mar-20,101,6,6,7,25,22,10,9,16,22
30-Mar-20,95,7,6,3,11,21,7,16,24,12
31-Mar-20,62,1,6,7,16,11,7,5,9,7
1-Apr-20,102,9,5,3,28,21,7,10,19,6
2-Apr-20,92,2,6,3,21,26,5,11,18,14
3-Apr-20,73,4,4,3,11,22,4,13,12,9
4-Apr-20,90,2,6,6,23,17,7,15,14,3
5-Apr-20,60,3,2,2,10,25,5,6,7,5
6-Apr-20,50,1,1,0,8,19,7,7,7,1
7-Apr-20,26,1,0,0,3,13,4,1,4,3
8-Apr-20,32,1,2,0,9,12,4,2,2,5
9-Apr-20,38,1,0,1,8,11,8,8,1,2
10-Apr-20,31,2,0,1,5,7,8,1,7,2
11-Apr-20,21,0,1,2,6,7,5,0,0,3
12-Apr-20,14,0,0,1,2,5,2,1,3,1
13-Apr-20,4,0,0,2,0,2,0,0,0,3
14-Apr-20,5,0,0,0,1,2,0,2,0,0
15-Apr-20,19,0,0,9,3,2,2,2,1,0
16-Apr-20,18,0,0,9,4,3,1,1,0,1
17-Apr-20,19,0,0,10,2,2,3,2,0,1
18-Apr-20,8,0,1,2,1,2,0,1,1,4
19-Apr-20,17,1,0,8,1,4,2,1,0,0
20-Apr-20,7,0,0,2,3,0,0,1,1,0
21-Apr-20,2,0,0,0,2,0,0,0,0,0
22-Apr-20,4,0,0,1,2,0,0,1,0,0
23-Apr-20,3,0,0,1,0,0,1,1,0,0
24-Apr-20,8,0,0,2,1,1,2,2,0,0
25-Apr-20,14,0,0,10,2,1,0,1,0,0
26-Apr-20,3,0,0,1,0,0,0,1,1,0
27-Apr-20,0,0,0,0,0,0,0,0,0,1
28-Apr-20,5,0,0,1,2,0,0,2,0,0
29-Apr-20,9,0,0,1,0,0,3,2,3,0
30-Apr-20,3,0,0,1,0,1,0,1,0,0
1-May-20,12,1,1,5,1,1,1,0,2,2
2-May-20,2,0,0,0,1,0,0,1,0,0
3-May-20,2,0,0,0,0,0,1,0,1,0
4-May-20,1,0,0,1,0,0,0,0,0,0
5-May-20,4,0,0,0,0,0,1,1,2,0
6-May-20,4,0,0,0,0,1,1,2,0,0
7-May-20,3,0,0,1,0,0,0,1,1,0
8-May-20,2,0,0,1,0,0,1,0,0,0
9-May-20,3,1,0,0,0,0,1,1,0,1
10-May-20,1,0,0,0,0,0,1,0,0,0
11-May-20,0,0,0,0,0,0,0,0,0,0
12-May-20,0,0,0,0,0,0,0,0,0,0
13-May-20,3,0,0,1,0,2,0,0,0,0
14-May-20,3,0,0,1,0,0,0,0,2,0
15-May-20,3,0,0,0,0,0,0,0,3,0
16-May-20,0,0,0,0,0,0,0,0,0,0
17-May-20,0,0,0,0,0,0,0,0,0,0
18-May-20,0,0,0,0,0,0,0,0,0,0
19-May-20,1,0,0,0,1,0,0,0,0,0
20-May-20,2,0,0,0,0,0,0,1,1,0
21-May-20,1,0,0,0,1,0,0,0,0,0
22-May-20,3,0,0,0,0,0,0,1,2,0
23-May-20,0,0,0,0,0,0,0,0,0,0
24-May-20,1,0,0,0,0,0,0,1,0,0
25-May-20,1,0,0,0,0,0,0,0,1,0
26-May-20,1,0,0,0,0,0,1,0,0,0
27-May-20,0,0,0,0,0,0,0,0,0,0
28-May-20,0,0,0,0,0,0,0,0,0,0
29-May-20,1,0,1,0,0,0,0,0,0,0
30-May-20,0,0,0,0,0,0,0,0,0,0
31-May-20,2,0,0,0,0,0,0,0,2,0
1-Jun-20,4,0,0,0,0,0,0,0,4,0
2-Jun-20,4,0,0,0,0,0,0,0,4,0
3-Jun-20,1,0,0,0,0,0,0,0,1,0
4-Jun-20,2,0,0,0,0,0,1,0,1,0
5-Jun-20,3,0,0,0,0,0,0,0,3,0
6-Jun-20,0,0,0,0,0,0,0,0,0,0
7-Jun-20,1,0,0,0,0,1,0,0,0,0
8-Jun-20,2,0,0,0,0,0,2,0,0,0
9-Jun-20,0,0,0,0,0,0,0,0,0,1
10-Jun-20,3,0,0,0,0,0,2,1,0,0
11-Jun-20,0,0,0,0,0,0,0,0,0,0
12-Jun-20,3,0,0,0,0,1,0,0,2,0
13-Jun-20,3,0,0,0,0,1,1,1,0,0
