Date,Minimum temperature (ò¾),Maximum temperature (ò¾),Rainfall (mm),Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (ò¾),9am relative humidity (%),9am wind speed (km/h),3pm Temperature (ò¾),3pm relative humidity (%),3pm wind speed (km/h)
3/1/2021,19.8,35.5,0,37,15:58,24.1,77,4,33.5,45,9
3/2/2021,16.8,27.7,0,31,13:08,21.8,74,6,23.9,53,20
3/3/2021,16.9,25.1,0,26,17:03,17.5,72,11,23.8,46,6
3/4/2021,15.2,29.7,0,28,11:14,20.3,61,2,28.3,40,9
3/5/2021,13.2,26.8,0,30,11:30,20.6,64,6,24.8,49,13
3/6/2021,17,26.6,0,24,17:07,19.1,68,7,25.6,43,6
3/7/2021,15.5,29.2,0,33,12:02,20.7,64,4,27.9,43,7
3/8/2021,16.7,29.8,0,78,15:24,20.9,86,Calm,28.9,58,9
3/9/2021,16.7,33.2,18.2,33,15:29,20.6,98,2,30.8,47,9
3/10/2021,19.4,26.9,1.6,26,15:44,20.7,89,7,25.7,63,11
3/11/2021,19.3,27.8,0.4,28,17:44,21.3,92,Calm,25.7,65,13
3/12/2021,19.7,27.4,6.4,20,16:54,21.3,98,2,25.9,79,13
3/13/2021,18.2,33.1,3.2,30,17:42,20.2,99,2,28.6,72,4
3/14/2021,18.6,19.1,15,33,13:41,18.8,98,6,15.5,96,13
3/15/2021,12.5,25.1,8.4,26,0:06,17,65,9,24.1,40,4
3/16/2021,14,21.6,0.2,28,10:43,18,73,4,19.8,81,13
3/17/2021,16.6,22.3,2.6,35,16:12,18.5,84,13,21.6,74,19
3/18/2021,17.2,20.5,14.6,20,18:35,19.1,98,9,20,98,7
3/19/2021,17.2,24.3,50,35,13:36,19.8,97,6,22.6,78,15
3/20/2021,18,20.2,33.6,31,7:39,18.4,98,11,20.1,98,6
3/21/2021,18.4,19.3,105.4,35,11:46,19.1,98,15,17.4,98,9
3/22/2021,16.6,19.2,88,22,14:38,17.9,78,7,18.8,76,2
3/23/2021,17.1,21.4,52.8,19,16:14,18.1,77,4,20.5,70,6
3/24/2021,15.7,29.6,15,43,14:28,21,79,7,28.1,45,20
3/25/2021,14.8,28.8,0,30,15:48,19,80,Calm,26,55,11
3/26/2021,12.3,26.1,0,19,17:26,18.1,83,Calm,25,37,2
3/27/2021,14.1,29,0,17,2:29,18.4,79,2,25.8,41,Calm
3/28/2021,13.4,27.4,0,24,16:47,18.8,76,2,26.6,38,2
3/29/2021,13.7,27.1,0,24,16:53,17.5,86,2,26.2,36,4
3/30/2021,16.4,24,0,22,16:02,17.5,72,9,23.2,46,9
3/31/2021,11.3,25.9,0,24,17:31,16.4,89,4,24.2,48,6
4/1/2021,12,27,0,20,13:32,19.2,78,4,25.5,47,2
4/2/2021,14.1,27.6,0,15,12:28,17.9,91,Calm,26.2,51,7
4/3/2021,13.4,27.7,0,24,12:49,17.2,98,2,27.4,50,13
4/4/2021,13.7,30.8,0,17,11:05,20.1,84,Calm,30.5,39,4
4/5/2021,14.9,29.2,0,24,15:08,23.5,69,2,28.3,54,9
4/6/2021,17.6,27.2,0,24,16:22,22.8,81,7,23.4,77,9
4/7/2021,17.9,25.8,11.6,44,16:54,22.3,87,9,23.8,73,7
4/8/2021,16.7,28,30.4,28,14:40,21.6,91,4,24.6,64,15
4/9/2021,15.3,29.2,0,33,17:20,19.4,98,4,27.8,54,9
4/10/2021,15.4,24.1,0.2,39,12:10,18.1,75,4,23.4,35,15
4/11/2021,12.2,19.5,0,50,11:14,17,38,11,18.7,30,19
4/12/2021,7.7,21.3,0,28,9:41,16,40,13,20.6,30,7
4/13/2021,7.5,24,0,24,13:44,14.3,76,2,23.6,35,13
4/14/2021,8.1,29,0,41,13:23,17.8,64,13,26.9,24,17
4/15/2021,12,26.9,0,26,20:37,20.4,48,4,26.8,31,4
4/16/2021,11.8,24.2,0,28,15:04,19,47,Calm,19.9,59,19
4/17/2021,13.9,19.9,0,17,16:15,15.6,85,2,18.5,67,7
4/18/2021,7.4,23.2,0,13,13:24,11.7,99,2,22.4,41,9
4/19/2021,8.4,25,0,13,13:35,14.4,92,Calm,24.8,37,4
4/20/2021,7.5,24,0,24,15:05,14.5,85,2,22.6,38,11
4/21/2021,10.2,21.7,0,31,8:46,16.6,48,15,19.8,35,6
4/22/2021,6.1,21.2,0,33,13:45,12.7,80,2,20.4,30,15
4/23/2021,4.8,23.7,0,13,14:14,12.8,71,Calm,23.3,34,2
