Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),9am Temperature (°C),9am relative humidity (%),3pm Temperature (°C),3pm relative humidity (%)
1/03/2021,18.7,35.6,0,23,79,33.9,30
2/03/2021,17.7,24.3,0,21.9,72,22.8,49
3/03/2021,16.8,23.8,0,18.1,68,21.9,50
4/03/2021,14,29.2,0,19.3,65,27.4,39
5/03/2021,14.4,25.7,0,21.4,56,23.5,49
6/03/2021,17.1,24.8,0,19.1,61,23,40
7/03/2021,13.9,26.9,0,19.1,63,26.3,49
8/03/2021,17.1,31.2,0,20.5,77,29.2,46
9/03/2021,17.3,30.5,1,22.9,62,27.4,55
10/03/2021,18.5,26.7,0,22.7,67,25.9,55
11/03/2021,18.6,26.4,0,22.4,72,25.9,57
12/03/2021,20.3,27.6,1,21.1,87,26.8,62
13/03/2021,18.4,33.3,2,20,95,32.1,46
14/03/2021,19.1,19.3,15.8,19.1,90,16.3,82
15/03/2021,12.1,23.4,9.4,15.5,66,22.8,48
16/03/2021,13.4,21.9,0,17.8,70,19,87
17/03/2021,16,24,7,18.5,81,21.8,63
18/03/2021,17.1,21.8,7.4,20.8,77,19.1,89
19/03/2021,17.2,24.4,52.8,20.9,76,20.3,82
20/03/2021,18.8,22.1,34.6,19.8,93,19.6,95
21/03/2021,19.2,20.4,92,19.7,88,19.8,75
22/03/2021,17.4,20.1,41.6,18.2,93,18.9,93
23/03/2021,17.7,21.2,47.8,19,91,19.6,94
24/03/2021,17.1,29.1,26.2,20.8,73,27.8,37
25/03/2021,15.8,28,0,21,64,23.2,65
26/03/2021,12.9,23.9,0.2,17.2,68,23.3,60
27/03/2021,14.7,27.8,0.2,18.2,80,25.9,33
28/03/2021,13.7,26.3,0,17.6,72,25,48
29/03/2021,13.7,26.3,0,17.3,75,25.3,31
30/03/2021,14.9,23.3,0,16.8,70,22.5,45
31/03/2021,13.2,24.6,0,15,76,23.7,35
1/04/2021,14.8,25.7,0,18.2,69,25.1,53
2/04/2021,14.3,27.1,0,17.9,87,26.1,50
3/04/2021,13.8,27.6,0,17.2,89,27.1,45
4/04/2021,13.8,31.2,0,20.3,75,30.1,33
5/04/2021,15.8,28.1,0,22.3,70,26.4,59
6/04/2021,18.2,27,2.2,22,83,24.8,64
7/04/2021,17.1,25.2,0,21.4,84,23.8,69
8/04/2021,16.5,26,1.6,21,78,24.5,62
9/04/2021,15,28.8,0,20,79,28.5,43
10/04/2021,15.8,24.1,0.2,16.6,64,23.8,32
11/04/2021,11.2,18.9,0,16.4,35,17.9,28
12/04/2021,8.3,20.8,0,14.3,45,20.2,33
13/04/2021,7.7,23.4,0,15.3,60,22.5,30
14/04/2021,8,28.1,0,19.3,43,26.4,22
15/04/2021,10.9,26.3,0,19.5,47,26.2,29
16/04/2021,13.9,22.9,0,19,42,19.7,54
17/04/2021,12.8,19.4,0,14.9,78,18.9,54
18/04/2021,7.9,22.7,0,15.1,70,20.6,52
19/04/2021,8.9,24.4,0.2,15.2,69,24.3,30
20/04/2021,7.7,23.3,0,15.2,62,22.7,35
21/04/2021,11.7,21.3,0,16.2,49,20.3,36
22/04/2021,6.7,20.3,0,14,52,18.9,31
23/04/2021,5.2,22.4,0,13.4,56,22.1,32
24/04/2021,6.2,22.9,0,13.6,65,22,34
25/04/2021,7.1,22.6,0,15.2,56,20.5,57
26/04/2021,9.1,23.4,0,15.1,71,22.8,39
27/04/2021,10.8,23.8,0,16.6,75,23.2,44
28/04/2021,10.9,22.9,0,17,75,21.6,52
29/04/2021,9,24.3,0,15.2,80,23.5,51
30/04/2021,9.7,23.9,0,15,84,22.5,56
1/05/2021,10.9,23.5,0,15.9,90,22.7,61
2/05/2021,11.2,24.7,0,14.9,98,23.2,58
3/05/2021,11,26.1,0,15.2,98,25.3,43
4/05/2021,13.2,15.9,0.2,15.2,82,15.6,92
5/05/2021,14.1,20.1,16,14.8,95,19.6,73
6/05/2021,14.2,22.2,21.4,19,93,21,84
7/05/2021,17.9,22.9,10.2,21,81,22.2,69
8/05/2021,12.9,25.9,0.6,16,99,25,47
9/05/2021,13.9,21,0.2,17.3,71,20.7,60
10/05/2021,11.5,25.1,0,16.7,76,24.1,36
11/05/2021,11.6,22.5,0,16.3,81,16.5,81
12/05/2021,11.1,22,1.8,16.4,73,21.6,62
13/05/2021,12.8,23.7,0.2,16.4,75,23.4,44
14/05/2021,10.5,19.5,0,16.6,44,18.8,32
15/05/2021,6.7,17.7,0,13.2,69,15.9,34
16/05/2021,4.6,18.5,0,11,52,18.3,25
17/05/2021,7.2,20.1,0,14.2,52,17.8,45
18/05/2021,4.9,20.2,0,11.2,68,19.5,35
19/05/2021,5.1,20.7,0,11.3,73,20.1,35
20/05/2021,4.6,21.8,0,11.1,77,21,31
21/05/2021,6.8,18.1,0.2,12.7,72,17,67
22/05/2021,5.6,21,0.8,12,76,20,46
23/05/2021,9.1,20.9,0.2,13.5,76,18.8,65
24/05/2021,10.4,20.1,3.4,16.8,85,18.5,67
25/05/2021,9.7,22.2,0.2,12.3,100,21.1,52
26/05/2021,12.3,21.5,0,16.6,59,20.9,34
27/05/2021,5,18.6,0,12.7,55,18.3,37
28/05/2021,6.3,17.3,0,13.2,60,16.6,32
29/05/2021,7.3,16.9,0,11.2,51,15,49
30/05/2021,10.1,16.5,0,12.7,59,15.7,60
31/05/2021,8,18.9,0,11.8,64,18.4,44
1/06/2021,4.8,19.7,0,9.5,89,18.3,45
