Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),9am Temperature (°C),9am relative humidity (%),3pm Temperature (°C),3pm relative humidity (%)
1/03/2021,17.1,30.8,0,22.3,86,29.8,59
2/03/2021,17.2,23.2,0,21.1,73,21.7,53
3/03/2021,17.6,22.4,0,18.6,65,21.6,54
4/03/2021,14.3,28.8,0,19.8,63,27.4,37
5/03/2021,13.6,24.4,0,21.5,60,22.5,50
6/03/2021,17.6,23.2,0,19.4,55,22.7,47
7/03/2021,14.4,25.8,0,19.1,63,25.3,51
8/03/2021,16.8,31.1,0,20.7,77,29.5,44
9/03/2021,16.1,27.9,0.2,23.6,61,25.6,61
10/03/2021,18.2,25.7,0,22.5,65,24.2,60
11/03/2021,17.1,26.3,1.4,21.5,85,24.2,64
12/03/2021,20.3,27.7,1,22,81,26,63
13/03/2021,17.7,30.7,35.2,21.6,90,28.7,62
14/03/2021,18.9,19.1,17.8,19,95,16.8,79
15/03/2021,11.6,22.1,12.8,15.6,67,21.5,55
16/03/2021,14,21.6,0,17.2,72,20,79
17/03/2021,16,22.7,5.4,19.3,78,20.3,74
18/03/2021,17.1,21.7,9.6,21.2,70,19,96
19/03/2021,17.1,23.8,65,21.4,76,20.4,90
20/03/2021,18.5,22.1,56.8,19.7,100,19.6,99
21/03/2021,19.2,20.6,100.4,19.7,89,19.6,79
22/03/2021,17.5,20.3,25,18.3,94,19.2,94
23/03/2021,17.6,21,44.8,18.9,94,19.6,100
24/03/2021,14.7,29.1,26.2,20.7,78,27.5,36
25/03/2021,14.5,27.7,0.2,20.6,68,24.2,54
26/03/2021,13,23.5,0,18.2,64,22.2,61
27/03/2021,14.8,27.2,0,19.3,77,25.6,31
28/03/2021,13.4,24.5,0,18.7,73,23.2,56
29/03/2021,13.2,25.8,0,18.3,75,22.3,61
30/03/2021,15.8,22,0,16.9,67,21.2,47
31/03/2021,14.3,23.2,1.4,16,74,22.8,33
1/04/2021,13,24.5,5.6,17.4,75,24,62
2/04/2021,13.3,26,0,18,88,25.3,52
3/04/2021,13.1,26.5,0,17.8,93,25.6,53
4/04/2021,13.4,29.1,0,20.8,78,26.8,56
5/04/2021,14.5,26.7,0,23.8,73,25.3,63
6/04/2021,16.7,26,1.2,22.7,79,21.3,87
7/04/2021,16.5,24.3,2.4,20.5,100,23.2,73
8/04/2021,16,25.4,7.2,21.8,81,24.6,61
9/04/2021,14.2,28.5,0,21,74,28.3,42
10/04/2021,15.6,23.4,0.2,17.1,59,23.2,32
11/04/2021,9.7,18.7,0,16.1,34,17.8,27
12/04/2021,8.8,19.1,0,14.4,44,18.6,35
13/04/2021,8.2,22.6,0,15.5,57,21.4,42
14/04/2021,7.2,27.9,0,20.3,38,26.7,23
15/04/2021,9.9,25.8,0,20.4,40,25.6,26
16/04/2021,15.5,21.4,0,19.4,41,18.8,57
17/04/2021,12.4,19.6,0,15.5,78,18.8,54
18/04/2021,7.7,22.5,0,15.1,72,20.4,56
19/04/2021,8.5,24.1,0,15.3,73,23.7,27
20/04/2021,6.5,22.7,0,16.1,56,22.7,40
21/04/2021,8.9,20.5,0,15.8,48,18.8,45
22/04/2021,6.1,19.8,0,14.4,50,19.3,29
23/04/2021,6.4,21.8,0,14.9,48,19.9,42
24/04/2021,6,22.7,0,14,66,22.5,35
25/04/2021,6.6,21.6,0,15.6,57,19.7,63
26/04/2021,8,22.9,0,15.7,74,21.1,53
27/04/2021,9,23.2,0,16.9,75,20,57
28/04/2021,10.2,22.4,0,17.6,75,21.1,55
29/04/2021,9.2,23.1,0,15.7,87,21.8,52
30/04/2021,8.8,22.8,0,13.7,100,22.2,59
1/05/2021,10.6,23.5,2,17.3,94,22.2,65
2/05/2021,10.2,23.9,0,16.7,95,22.7,63
3/05/2021,10.1,25.1,0,14.8,100,24.5,51
4/05/2021,11.6,16.1,0,15.7,81,15.7,99
5/05/2021,14.1,20,22.6,15,100,18.7,79
6/05/2021,15,21.1,25.2,19,99,20.2,91
7/05/2021,17.6,22.7,38.6,20.5,90,21.6,70
8/05/2021,12.8,25.4,0.4,17.7,87,25.2,45
9/05/2021,13.3,20.5,0.2,17.4,68,20.4,62
10/05/2021,10.6,24.5,0,17.3,74,23.9,35
11/05/2021,11.2,22.2,0,17.5,75,17.1,66
12/05/2021,10.6,20.8,0,16.2,73,20.2,69
13/05/2021,11.9,23.3,1.8,16.5,77,23.1,45
14/05/2021,9,19.5,0,16.5,44,19,31
15/05/2021,5.5,18.1,0,14,57,15.2,32
16/05/2021,5.1,18.3,0,11,50,18.1,20
17/05/2021,8.1,18.6,0,13.7,53,16.7,48
18/05/2021,4.7,,0,12,64,19.3,36
19/05/2021,4.3,20.6,0,11.6,69,19.9,34
20/05/2021,4.1,21.2,0,11.1,84,19,38
21/05/2021,5.3,17.1,0.8,10.2,96,16.9,66
22/05/2021,5.2,20.1,0.2,12.1,75,18.2,65
23/05/2021,7.9,20.5,0,13,81,18.9,67
24/05/2021,9.6,19,1.8,15.4,100,18.8,73
25/05/2021,7.8,21.5,7.4,12.4,100,20.6,55
26/05/2021,11.3,21.2,0,16.3,56,21.1,31
27/05/2021,8.6,18.6,0,12.8,52,18.5,36
28/05/2021,5.9,16.8,0,13.8,55,16.1,33
29/05/2021,7.6,15.7,0,10.5,51,14.8,49
30/05/2021,9.8,16.1,0,12.3,63,14.5,65
31/05/2021,8.3,19.8,0,12.2,60,19.4,42
1/06/2021,4.2,19.5,0,9.6,96,19,40
2/06/2021,5.7,22.1,0,11.5,73,20.8,33
3/06/2021,,13.4,,,,13.3,99
4/06/2021,6.8,,7.4,12.9,91,17.6,46
5/06/2021,5.4,17.1,0,10.8,64,16.3,36
6/06/2021,3.9,19.9,0,12,58,18.3,44
7/06/2021,3.6,19.7,0,10.3,83,19.4,38
8/06/2021,6.1,18.8,0,14,57,17.7,51
9/06/2021,8.8,15.5,8.8,10.4,84,14.1,46
10/06/2021,2.6,10.2,0,7.9,99,9.6,84
11/06/2021,3,15.3,8,6.1,100,15,56
12/06/2021,4.5,17.6,0,13.2,59,17.2,38
13/06/2021,3,18.2,0,11.6,66,18,41
14/06/2021,6.7,17.8,0,10.6,68,16.9,60
15/06/2021,8,17.2,0,12.5,81,16.5,71
16/06/2021,4.6,19.9,0,10.1,99,18.5,55
17/06/2021,8.2,17.4,7.8,13,56,17.2,38
18/06/2021,3,18.1,0.2,12.5,68,17.4,41
19/06/2021,10.8,15,2.4,13.9,53,13.4,83
20/06/2021,11.6,15.4,3,13,74,13.4,87
21/06/2021,8.8,16.5,1.6,11.3,95,15,73
22/06/2021,7.4,17.5,1,10.7,89,16.5,68
23/06/2021,7,18.8,0.4,10.7,100,17.4,58
24/06/2021,9.5,21.7,0,15.4,71,21.1,50
25/06/2021,8.2,19,0.8,15.5,58,18.7,38
26/06/2021,4.6,18.2,0.2,13.4,61,17.5,37
27/06/2021,2.1,19.3,0,11.1,68,18.5,30
28/06/2021,4.7,16.1,0,8.4,86,16,66
29/06/2021,5.8,16.1,7.2,10.6,99,15.6,86
30/06/2021,9.3,18.1,14.2,11.2,100,16.3,83
1/07/2021,9.9,17.3,0.6,11.4,100,16.5,79
2/07/2021,9.6,19.7,3.2,11.9,100,18.1,69
3/07/2021,4.7,19.9,0,9.9,96,19.2,45
4/07/2021,3,15.3,0.2,10.1,61,14.9,39
5/07/2021,2.5,16,0,10.3,64,15.8,40
6/07/2021,4,16.8,0,8.8,64,15.4,43
7/07/2021,2.7,17.4,0,7.9,71,16.3,47
8/07/2021,2.4,17,0,8.5,86,16,57
9/07/2021,5.2,12.9,0,8.9,89,12.2,94
10/07/2021,8.9,14.9,5.4,12.9,76,14.8,68
11/07/2021,7.7,17.1,16.4,11.3,100,13.7,74
12/07/2021,5,17.5,0.8,8.8,96,16.2,55
13/07/2021,3.8,19.5,0.2,9.8,100,18.6,38
14/07/2021,6,16.7,0,11,80,12.6,87
15/07/2021,9.7,22.3,2.2,16.6,69,21.7,46
16/07/2021,7.4,18.6,1.6,14.7,72,16.9,39
17/07/2021,12,15.2,1,13.1,55,13.4,41
18/07/2021,8.9,18.2,0,14.4,50,18,37
19/07/2021,2.7,15.7,0,10.4,68,14.9,44
20/07/2021,3.2,15.6,0,11.2,55,14.2,47
21/07/2021,8.7,14.8,0,9.8,48,14.6,36
22/07/2021,2.4,17.3,0,8.3,65,16.6,38
23/07/2021,7.4,16.8,0.4,10.1,85,14,70
24/07/2021,8.4,18.2,0.8,10.8,85,17.5,35
25/07/2021,10.1,15,0,11.7,45,14.4,29
26/07/2021,4.5,19.9,0,14.2,57,18.9,36
27/07/2021,5.1,20.1,0,15.4,60,19.6,38
28/07/2021,7.6,25,0,15.9,43,23.1,27
29/07/2021,10.5,17.8,0,13.3,42,17.4,24
30/07/2021,1.2,18.5,0,9.9,61,17.9,35
31/07/2021,3,22,0,12.1,55,21.3,33
1/08/2021,11.2,25.3,0,18.7,59,20.1,41
2/08/2021,4.2,18.8,0,11.7,67,17.1,49
3/08/2021,9.2,19.8,3.6,13.2,87,19,31
4/08/2021,4.1,15.6,0,12.4,43,15.3,33
5/08/2021,4.3,19.1,0,14.4,52,18.3,36
6/08/2021,4.7,20.6,0,12.4,59,20.2,31
7/08/2021,4.5,19.3,0,11.7,61,18.1,36
8/08/2021,9.2,16.2,0.8,11.5,95,15,64
9/08/2021,6.7,18.8,0.8,12.5,80,18,50
10/08/2021,5.3,21.8,0,11.9,82,21,40
11/08/2021,,,,,,23.5,37
12/08/2021,,20.6,,,,20.1,24
13/08/2021,3.8,19.9,,11.8,54,19.4,25
14/08/2021,3.5,20,0,12.5,59,18.8,43
15/08/2021,4.8,20.6,0,12.9,56,20.5,22
16/08/2021,2.8,22.7,0,15.3,38,22,21
17/08/2021,5.9,18.3,0,13.4,50,16.3,39
18/08/2021,6.1,19.2,0,11.8,59,17.4,49
19/08/2021,4,21.4,0,11.8,72,20.3,43
20/08/2021,7.2,23.1,0,13.6,68,22.8,30
21/08/2021,9.8,23.9,0,13.6,79,22.6,35
22/08/2021,6.2,26.4,0,15.4,60,24.7,34
23/08/2021,9.5,24.5,0,22.1,46,23.1,37
24/08/2021,9.2,12.3,36.8,9.2,95,9.7,93
25/08/2021,8,16.6,47.4,12,53,15.8,45
26/08/2021,4.1,17.7,0,13,53,16,54
27/08/2021,3.7,20,0,12.5,66,18.3,28
28/08/2021,6.9,17.8,0,13.6,52,16.7,57
29/08/2021,4.6,17.9,0,11.4,76,17.3,48
30/08/2021,3.5,19.7,0,13.6,60,18.3,42
31/08/2021,4,22.2,0.2,13.3,70,21.2,31
1/09/2021,4.7,24.5,0,15.1,56,22,31
2/09/2021,9.4,22.1,0,16,77,20.7,66
3/09/2021,9.1,24.2,0,18.1,66,21.5,52
4/09/2021,12.5,22.6,0,18.9,56,18.8,70
