Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),9am Temperature (°C),9am relative humidity (%),3pm Temperature (°C),3pm relative humidity (%)
1/03/2021,19.2,33.3,0,23,87,32.8,48
2/03/2021,,,,,,21.3,57
3/03/2021,17.8,22.8,,18.6,69,22.3,56
4/03/2021,14.9,29.5,0,19.3,71,27.8,40
5/03/2021,15.3,24.3,0,21.4,62,22.1,56
6/03/2021,17.5,23.6,0,19.3,63,22,48
7/03/2021,14.5,26.9,0,19.3,71,25.7,54
8/03/2021,17.9,32,0,20.7,84,29.1,51
9/03/2021,18,30,1.6,22.9,74,26.1,65
10/03/2021,18.9,26.2,0,22,74,24.2,66
11/03/2021,18.1,27.4,0,21.9,84,25,63
12/03/2021,20.3,27.8,1.4,21.9,95,27,65
13/03/2021,19.1,33,3.2,22.2,96,29.1,62
14/03/2021,19.4,19.5,14.4,19.4,99,16.8,85
15/03/2021,11.7,23,15,15.6,66,22.1,53
16/03/2021,13.8,21.7,0,17.6,74,20,80
17/03/2021,16.1,22.8,7.2,19.3,78,22,65
18/03/2021,17.7,22.1,6.4,21.9,74,19.1,99
19/03/2021,17.5,24.1,46.8,19.8,96,20.3,92
20/03/2021,18.5,22.3,37.2,19.5,100,19.9,100
21/03/2021,19.2,20.4,114.4,19.7,91,19.5,81
22/03/2021,17.6,20.2,44.2,18.3,99,19.1,100
23/03/2021,17.9,21.9,46.6,19.1,99,20,100
24/03/2021,15.7,29.8,16.4,21.5,85,29.3,41
25/03/2021,15.5,29.2,0.2,20.9,75,25.1,54
26/03/2021,13.2,24.7,0.2,17.4,77,23.6,61
27/03/2021,15.7,28.3,0,19,93,26.8,38
28/03/2021,14.2,27,0,18.4,85,23.8,52
29/03/2021,14.2,27.5,0,17.7,83,23.9,60
30/03/2021,15,22.9,0,17.2,70,22.9,49
31/03/2021,14.5,24,0.2,16.3,74,23.2,42
1/04/2021,13.7,25.5,4.8,17.2,92,24.9,60
2/04/2021,14.9,26.6,0.2,18.3,99,25.7,52
3/04/2021,15,27.4,0,17.6,99,27.1,52
4/04/2021,15.4,30.4,0,21,82,28.2,54
