Date,RANDWICK SO2 24h maximum [pphm],LIVERPOOL SO2 24h maximum [pphm],NEWCASTLE SO2 24h maximum [pphm],WOLLONGONG SO2 24h maximum [pphm],PARRAMATTA NORTH SO2 24h maximum [pphm],PENRITH SO2 24h maximum [pphm],RANDWICK NO 24h maximum [pphm],LIVERPOOL NO 24h maximum [pphm],NEWCASTLE NO 24h maximum [pphm],WOLLONGONG NO 24h maximum [pphm],PARRAMATTA NORTH NO 24h maximum [pphm],PENRITH NO 24h maximum [pphm],RANDWICK NO2 24h maximum [pphm],LIVERPOOL NO2 24h maximum [pphm],NEWCASTLE NO2 24h maximum [pphm],WOLLONGONG NO2 24h maximum [pphm],PARRAMATTA NORTH NO2 24h maximum [pphm],PENRITH NO2 24h maximum [pphm],RANDWICK OZONE 24h maximum [pphm],LIVERPOOL OZONE 24h maximum [pphm],NEWCASTLE OZONE 24h maximum [pphm],WOLLONGONG OZONE 24h maximum [pphm],PARRAMATTA NORTH OZONE 24h maximum [pphm],PENRITH OZONE 24h maximum [pphm],RANDWICK PM10 24h maximum  ,LIVERPOOL PM10 24h maximum  ,NEWCASTLE PM10 24h maximum  ,WOLLONGONG PM10 24h maximum  ,PARRAMATTA NORTH PM10 24h maximum  ,PENRITH PM10 24h maximum  ,RANDWICK PM2.5 24h maximum  ,LIVERPOOL PM2.5 24h maximum  ,NEWCASTLE PM2.5 24h maximum  ,WOLLONGONG PM2.5 24h maximum,PARRAMATTA NORTH PM2.5 24h maximum ,PENRITH PM2.5 24h maximum  ,LIVERPOOL CO 24h maximum [ppm],NEWCASTLE CO 24h maximum [ppm],WOLLONGONG CO 24h maximum [ppm],PARRAMATTA NORTH CO 24h maximum [ppm],PENRITH CO 24h maximum [ppm]
2/4/2020,0.2,0.3,0.3,0.4,0.2,,0.2,16,0.5,0.5,11.3,,0.6,2.6,2.2,1.7,2.1,,3.2,1.6,2.6,2,1.9,,36.5,48,37.8,33.2,38.5,,17.1,17.3,,18.9,13.9,,0.4,0.3,0.2,0.3,
3/4/2020,0.3,0.1,0.8,0.1,0.1,,4.5,8.9,1.7,7.2,1.2,,1.6,1.7,1.5,1.7,0.8,,3.1,2.2,2,2.7,2.2,,36.3,20.9,28,22.3,14.1,,13.5,11.5,,10.3,8.1,,0.2,0.3,0.2,0.2,
4/4/2020,0.2,0,0.1,0,0,,0.2,0.1,,0.1,0.1,,0.9,0.8,1.6,0.3,0.2,,2.9,2.6,2.8,2.5,2.7,,30.9,49.5,73.9,32.6,39.8,,16.3,11.5,,11.2,16.8,,0.1,0.2,0.1,0.1,
5/4/2020,0.1,0.1,0.3,0,0,,0.1,0.9,0.3,0.4,0,,1.3,1.5,1.4,1.4,0.7,,2.6,2.3,2.9,2.1,2.4,,37.3,37.2,36.4,17.7,40.4,,15.2,11.5,,12.1,9,,0.1,0.1,0.1,0.1,
6/4/2020,0.1,0.1,0.3,0.5,0.1,,3,3.1,1.4,0.5,1.1,,1.6,1.8,1.5,1.1,1.2,,2.6,2.1,3.2,2,2.3,,27,22.1,24.2,18.2,21.7,,7.4,9.7,,8.5,7.1,,0.1,0.1,0.2,0.1,
7/4/2020,0.1,0.2,0.1,0.7,0.1,,0.4,2.6,0.1,1.8,3.2,,1,2.4,0.2,2.1,1.7,,2.7,2.3,2.5,2.5,2.4,,26,20.7,26.9,28.2,24.9,,10.9,9.3,,14.2,10.8,,0.2,0.2,0.2,0.2,
8/4/2020,0,0.1,0,0.5,0.2,,0,4.7,0.3,0.7,9.1,,0.5,2,1.5,1.7,1.9,,2.8,1.9,2.6,2,1.6,,19.6,18,27.1,18.8,21.8,,11.7,10.5,,10.6,7.8,,0.2,0.2,0.2,0.3,
9/4/2020,0.3,0.1,0.1,0.6,0.1,,0.8,4.3,0.3,2.4,4.6,,1.3,2,0.8,1.7,1.7,,2.8,2.3,2.5,2.3,2.3,,24.8,16.3,27.8,19.9,20.8,,21.8,11.1,,22.5,9.3,,0.2,0.2,0.2,0.2,
10/4/2020,0.4,0.1,0.4,0.2,0.1,,0.3,5.1,1.3,0.4,2.6,,1,1.5,1.4,1.1,1.1,,2,2.2,1.9,2.4,2.2,,18.9,15.7,34.7,9.6,15.1,,12.9,10.8,,13.3,9.8,,0.3,0.2,0.2,0.3,
11/4/2020,0.1,0.1,0.1,0,0.1,,0.2,2.7,0.1,0,0.5,,0.7,1.2,0.5,0.1,0.7,,3,2.8,3.1,2.7,2.8,,23.1,25.2,28.7,26.7,21.6,,14.7,15.9,,13.1,7.2,,0.2,0.2,0.1,0.2,
12/4/2020,0,0,0.4,0.1,0,,1.4,0.8,0.8,1.1,0.7,,1.6,2,2,1.8,1.3,,2.7,3.1,2.8,2.5,3.2,,34.2,28,81,49,35.8,,16.9,22.2,,40.5,26.8,,0.2,0.5,0.3,0.2,
13/04/2020,0.4,0.4,1.1,0.6,0.6,,1.2,1.9,2.9,2.4,0.9,,1.3,2.6,1.5,1.8,1.8,,3.9,3.6,2.9,3.5,3.9,,42.1,28.7,83.8,41.5,30.6,,24.2,24.2,,20.2,22.7,,0.3,0.7,0.4,0.4,
14/04/2020,0.3,0.3,0.8,0.6,0.4,,3.2,6.8,6.7,10,12,,2,3.6,1.5,3.3,2.5,,3.9,4,2.5,3.5,4.4,,49.3,48.7,59.6,40.7,42.4,,17.8,20,,20.7,17.4,,0.3,0.5,0.3,0.3,
15/04/2020,1.1,0.2,1.8,0.2,0.2,,2.2,6.7,5.6,10,4.6,,2.4,4.8,2.5,3.6,2.9,,5.2,5.1,3.3,5.2,4,,56.1,51.2,80.7,60.9,42.9,,25,24,,23.9,23.7,,0.3,0.4,0.4,0.3,
16/04/2020,0.2,0.2,1.3,0.4,0.2,,3.3,12.7,2.8,4.9,9.3,,2.3,3.3,2.4,2.4,2.4,,3,1.8,3.2,1.8,2.8,,36,57.6,39.6,44,37.1,,27.6,27,,18.6,16.7,,0.4,0.3,0.4,0.3,
17/04/2020,0.1,0.1,0.3,1,0.2,,0.6,5.5,0.6,0.5,8.7,,1.5,2.2,2.6,1.6,2.8,,3.2,3,3.5,2.8,3,,64.9,29.7,85.4,59.3,43.6,,27.2,12,,16.7,20.6,,0.2,0.2,0.2,0.1,
18/04/2020,0.1,0.1,1.1,0.1,0.1,,0.5,4.7,0.6,0.6,4.1,,1.7,2.7,2.5,2,1.7,,3.2,3.3,3.4,2.9,3.4,,27.9,34.5,82.6,31.1,86,,18.8,27.5,,22.6,25.1,,0.3,0.5,0.3,0.2,
19/04/2020,0.2,0.1,0.2,0.4,0.1,,1.4,2.2,5.2,0.6,1.9,,1.7,2.6,2.1,1.8,1.5,,3.2,3.4,4.3,2.9,3.5,,33.6,25,45.8,32.6,30.4,,22,22,,14.9,25.5,,0.4,0.7,0.3,0.4,
20/04/2020,0.1,0.2,0.5,0,0.1,,3.3,11.8,4,1.7,2.9,,2.3,2.7,1.8,2.3,1.6,,1.6,0.9,2.6,1.7,1.8,,33.5,49.3,32.3,28.4,31.3,,25.7,22.4,,17.5,16.5,,0.6,0.5,0.2,0.3,
21/04/2020,0.4,0.2,0.7,0.2,0.2,,3.5,13.3,4,6.8,15.2,,1.9,3.3,2.1,2.8,2.2,,3.3,2.8,2.1,3.4,2.7,,40.6,47,68.9,33.7,64.4,,18.9,22.2,,12.5,11.1,,0.6,0.3,0.2,0.3,
22/04/2020,0.1,0.2,0.2,0.1,0.2,,5.8,14.3,2.2,2.7,10.2,,2.1,3.3,2.8,2.9,2.7,,3.5,2.9,3.9,3,2.9,,33.8,38.4,34.3,37,85.2,,15.7,17,,14.5,11.7,,0.3,0.3,0.3,0.2,
23/04/2020,0.6,0.3,0.9,0.6,0.3,,3.7,11.3,6.4,0.6,19.1,,2.7,3.6,2.7,3.4,2.6,,4,3.3,3,3.6,3.2,,47.9,57,69.2,65.5,84.5,,18.7,21.6,,16.6,12.8,,0.4,0.3,0.2,0.3,
24/04/2020,0.2,0.2,0.2,0.1,0.2,,4.4,14.9,1.5,3.5,6.8,,2.3,3.4,2.6,3.3,3.1,,3.7,2.9,3.7,3.4,3.1,,46.7,53.3,67.5,33.5,60.2,,16.8,22.9,,14.8,17.1,,0.5,0.4,0.2,0.3,
25/04/2020,0.5,0.4,1.1,0.5,0.3,,2.7,9.4,4.6,0.4,2.3,,1.9,3.3,2.1,2.2,1.8,,4.7,3.8,3.4,4.8,4.3,,50.9,45.5,48.2,68.3,46.6,,22.2,29.7,,29.4,15.2,,0.6,0.6,0.4,0.4,
26/04/2020,0.2,0.1,0.5,0.1,0.1,,0.7,2.9,3.1,0.2,0.6,,1.2,2.5,2.6,2.1,1.7,,3.1,2.7,3.1,2.5,2.9,,108.8,44.3,65.1,38.2,33.6,,18.1,32.9,,25,17.8,,0.6,0.3,0.4,0.2,
27/04/2020,0.8,0.2,0,0.3,0.2,,1.4,10.3,0.3,4.1,6.6,,1.4,2.5,0.9,2.2,2.1,,2.7,2,2.5,2.6,1.7,,33.7,40.6,45.2,28.8,37.9,,16.9,13.1,,13.3,11.5,,0.2,0.3,0.2,0.4,
28/04/2020,0.1,0.2,0,0,0.2,,0,12.1,0.2,0.6,9.8,,0.4,2.3,0.7,1.8,1.8,,2.8,2.2,2.6,2.6,2.5,,36.8,39.7,37.9,42.3,33.1,,13.8,17.8,,21,16.1,,0.3,0.2,0.2,0.4,
29/04/2020,0.5,0.4,0.8,0.2,0.4,,0.6,8.4,4.1,0.6,2.1,,0.8,2.8,1.4,2.2,1.5,,2.6,2.6,2.2,2.4,3.2,,28.8,85.3,29.9,44.7,74.4,,19.9,62.1,,13,50.6,,0.4,0.3,0.2,0.3,
30/04/2020,0.8,0.1,1.7,0.1,0.1,,1,7.8,3.1,0.4,8.4,,1.6,1.9,1.7,1.6,1.9,,2.3,1.4,2.3,2.5,1.7,,42.7,17.7,31.2,12.1,34,,11.4,9.3,,13.7,15.6,,0.2,0.2,0.1,0.7,
1/5/2020,0.1,0.1,0.5,0,0.1,,0.5,2.6,0.3,1.9,1,,0.9,2.1,1,1.9,1.6,,2.6,2.5,2.4,2.5,2.6,,15.1,12.9,28.3,9.5,15.1,,9.8,8.4,,11.5,5.5,,0.1,0.2,0.1,0.2,
2/5/2020,0.1,0,0.3,0,0,,0.1,0,0.1,0,0.2,,0.5,0.4,0.3,0.2,0.4,,2.9,2.9,2.5,3,2.8,,19.8,17.1,33.5,13.8,16.5,,9.5,7.2,,10.7,18.8,,0.1,0.1,0.1,0.1,
3/5/2020,0,0.1,0.3,0.3,0.1,,1.1,6.9,1.6,0.4,2.7,,2,2.6,2.1,1.9,1.8,,2.8,2.7,2.8,2.5,2.8,,30.8,40.1,54.2,29.3,38.1,,15.1,32.1,,18.1,34.1,,0.5,0.4,0.2,0.4,
4/5/2020,0.4,0.2,0.2,0.7,0.2,,3.3,11.8,3.3,2.5,11.3,,1.8,2.5,1.9,1.8,2.1,,2.8,2.4,2.8,2.4,2.6,,32.1,49.9,42.7,21.7,40.3,,13.3,17,,19.3,21.2,,0.6,0.5,0.2,0.5,
5/5/2020,0.1,0.1,0.3,0.4,0.1,,3.5,7.4,1.2,3.7,5.3,,1.8,2.3,1.8,2.3,2,,2.5,2.2,2.1,2.4,2.5,,26.2,32.9,26.3,16.1,23,,11.6,,,10.9,15.4,,0.4,0.3,0.2,0.3,
6/5/2020,0.4,0.3,0.9,0.1,0.2,,4.6,16.5,3.1,4.4,8.5,,1.9,2.9,1.6,2.6,2.2,,2.8,2.7,1.7,2.7,2.9,,33.6,44.1,44.1,21.1,39.6,,24.2,,,13.4,17.7,,0.8,0.3,0.2,0.6,
7/5/2020,0.2,0.3,0.4,0.1,0.2,,5.3,14.5,6.6,7.5,11.9,,2.1,2.8,2.1,2.8,2.4,,2,2,1.1,2.3,2.2,,28.7,39.9,47.8,29,48.8,,16.9,,,18.5,14.6,,1,0.5,0.2,0.7,
